,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
2187,Maruti,Swift,3,16000.0,Individual,Petrol,Manual,22.0,1197,81.8,5,7.0,7.515
2188,Honda,Amaze,8,121877.0,Dealer,Diesel,Manual,24.7,1498,98.63,5,4.25,10.425
2189,Maruti,Wagon R,7,44000.0,Dealer,Petrol,Manual,20.51,998,67.04,5,3.25,6.185586145648313
2191,Maruti,Wagon R,9,80000.0,Individual,Petrol,Manual,18.9,998,67.1,5,2.75,6.42
2192,Maruti,Swift,11,82000.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,3.11,7.85
2193,Hyundai,Grand,5,28000.0,Dealer,Petrol,Automatic,18.9,1197,82.0,5,5.11,7.071195054945055
2194,Honda,City,6,23461.0,Dealer,Petrol,Automatic,18.0,1497,117.3,5,8.2,14.945
2195,Honda,Jazz,4,19000.0,Individual,Petrol,Automatic,19.0,1199,88.7,5,7.35,10.175
2196,Skoda,Rapid,7,62063.0,Dealer,Petrol,Automatic,14.3,1598,103.6,5,4.65,12.405
2197,Maruti,Wagon R,6,33766.0,Dealer,Petrol,Manual,20.51,998,67.04,5,3.72,6.3
2199,Maruti,Swift Dzire,10,95398.0,Dealer,Diesel,Manual,19.3,1248,73.9,5,4.0,8.329472891566265
2200,Volkswagen,Vento,9,71000.0,Dealer,Petrol,Manual,15.04,1598,103.6,5,4.25,13.23
2201,Honda,City,6,51000.0,Dealer,Petrol,Manual,17.4,1497,117.6,5,6.25,14.945
2202,Tata,Nexon,3,50000.0,Individual,Diesel,Manual,21.5,1497,108.5,5,7.25,12.61
2203,Maruti,Celerio,7,91000.0,Individual,CNG,Manual,31.79,998,58.2,5,3.1,6.43
2204,Maruti,Eeco,7,161209.0,Dealer,Petrol,Manual,15.37,1196,73.0,5,2.5,4.905
2205,Maruti,Ciaz,5,33000.0,Dealer,Petrol,Automatic,19.12,1373,91.1,5,7.25,11.73
2206,Hyundai,i20,4,10000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,7.0,10.575
2207,Maruti,Alto,10,50000.0,Individual,Petrol,Manual,19.7,796,46.3,5,1.85,4.112027027027027
2208,Honda,Jazz,4,32714.0,Dealer,Petrol,Manual,18.7,1199,88.7,5,6.5,10.16
2209,Tata,Tiago,2,10000.0,Individual,Petrol,Manual,23.84,1199,84.0,5,5.5,6.81
2210,Mahindra,Bolero,5,80000.0,Individual,Diesel,Manual,15.96,2523,63.0,9,6.3,9.77
2211,Volkswagen,Vento,10,45000.0,Dealer,Petrol,Manual,15.04,1598,103.6,5,3.35,13.46
2213,Maruti,Ertiga,4,53393.0,Dealer,CNG,Manual,17.5,1373,80.46,7,8.0,10.23
2214,Maruti,Swift Dzire,10,75220.0,Dealer,Diesel,Manual,19.3,1248,73.9,5,3.9,8.329472891566265
2215,Toyota,Innova,13,142000.0,Dealer,Diesel,Manual,12.8,2494,102.0,8,4.9,24.861428571428572
2216,Ford,Ecosport,5,56000.0,Dealer,Diesel,Manual,23.0,1498,98.96,5,7.65,11.718629283489095
2217,Maruti,Swift,8,97000.0,Individual,Petrol,Manual,18.6,1197,85.8,5,4.0,7.86
2218,Maruti,Swift,6,40200.0,Individual,Diesel,Manual,25.2,1248,74.0,5,4.98,7.746715686274511
2219,Datsun,GO,5,29823.0,Dealer,Petrol,Manual,20.63,1198,67.0,5,2.95,6.74
2221,Maruti,Wagon R,10,48000.0,Dealer,Petrol,Manual,21.79,998,67.05,5,2.45,6.3
2223,Honda,City,6,42000.0,Dealer,Petrol,Manual,17.8,1497,117.3,5,6.15,14.945
2224,Maruti,Swift Dzire,9,58000.0,Individual,Petrol,Manual,19.1,1197,85.8,5,4.3,8.75
2225,Maruti,Ignis,2,9343.0,Dealer,Petrol,Automatic,20.89,1197,81.8,5,6.0,7.26
2226,Mahindra,KUV,4,70000.0,Individual,Petrol,Manual,18.15,1198,82.0,6,3.5,7.725
2227,Maruti,Wagon R,5,22000.0,Dealer,CNG,Manual,26.6,998,58.16,5,4.15,6.14
2228,Volkswagen,Vento,7,95000.0,Dealer,Diesel,Manual,20.34,1498,103.2,5,5.5,13.294659090909091
2229,Honda,City,2,25000.0,Individual,Petrol,Automatic,18.0,1497,117.6,5,14.0,15.0
2230,Maruti,Vitara,3,66470.0,Dealer,Diesel,Manual,24.3,1248,88.5,5,9.0,10.815
2231,Hyundai,Creta,5,27700.0,Dealer,Petrol,Manual,15.29,1591,121.3,5,8.2,16.055
2234,Volkswagen,Vento,7,71000.0,Dealer,Diesel,Manual,22.27,1498,108.6,5,5.1,13.294659090909091
2235,Mahindra,Bolero,9,100000.0,Individual,Diesel,Manual,15.96,2523,62.1,7,5.5,9.77591503267974
2236,Tata,Tiago,5,80000.0,Individual,Petrol,Manual,23.84,1199,84.0,5,3.7,6.773722222222222
2237,Hyundai,i10,7,61696.0,Dealer,Petrol,Manual,19.81,1086,68.05,5,3.35,7.138266666666667
2238,Mahindra,XUV500,8,60000.0,Individual,Diesel,Manual,15.1,2179,140.0,7,6.0,19.98
2240,Maruti,Swift,3,35000.0,Individual,Petrol,Automatic,21.21,1197,81.8,5,6.0,7.65
2241,Hyundai,i20,5,85000.0,Individual,Diesel,Manual,22.54,1396,88.73,5,5.5,11.02
2242,Maruti,Ertiga,6,42895.0,Dealer,CNG,Manual,17.5,1373,80.46,7,6.9,10.38372
2243,Maruti,Alto,5,9223.0,Dealer,Petrol,Manual,22.74,796,47.3,5,3.0,4.2
2244,Hyundai,Verna,4,45910.0,Dealer,Diesel,Manual,23.9,1582,126.2,5,9.25,15.465
2245,Hyundai,i20,2,8405.0,Dealer,Petrol,Manual,18.6,1197,81.86,5,5.9,10.810042134831459
2246,Hyundai,Creta,4,51050.0,Dealer,Diesel,Manual,19.67,1582,126.2,5,10.5,16.11
2247,Tata,Nexon,4,17000.0,Dealer,Petrol,Manual,17.0,1198,108.5,5,6.9,11.18
2248,Volkswagen,Vento,7,59000.0,Dealer,Petrol,Manual,15.04,1598,103.2,5,4.65,13.294659090909091
2249,Toyota,Innova,4,100000.0,Dealer,Diesel,Automatic,11.36,2755,171.5,7,15.75,24.861428571428572
2250,Skoda,Rapid,4,28000.0,Dealer,Petrol,Automatic,14.84,1598,103.2,5,8.25,12.28091836734694
2251,MG,Hector,2,8500.0,Dealer,Petrol,Automatic,13.96,1451,141.0,5,18.55,18.4
2252,Hyundai,Grand,5,13000.0,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.55,7.24
2253,Ford,Aspire,3,5000.0,Individual,Petrol,Manual,18.16,1196,86.8,5,6.8,7.87
2254,Toyota,Innova,9,130000.0,Individual,Diesel,Manual,12.99,2494,100.0,7,7.0,24.861428571428572
2255,Honda,City,6,29000.0,Dealer,Petrol,Manual,16.8,1497,116.3,5,5.24,14.945
2256,Volkswagen,Polo,3,11000.0,Dealer,Diesel,Manual,21.49,1498,108.5,5,8.75,9.283830409356725
2257,Hyundai,Grand,5,198000.0,Individual,Petrol,Manual,18.9,1197,82.0,5,4.1,7.23
2258,Renault,KWID,4,35000.0,Dealer,Petrol,Automatic,24.04,999,67.0,5,3.49,5.415
2259,Honda,City,5,5730.0,Dealer,Petrol,Manual,17.4,1497,117.6,5,7.45,14.945
2260,Maruti,Swift Dzire,9,14000.0,Dealer,Diesel,Manual,28.4,1248,74.02,5,4.5,8.329472891566265
2261,Maruti,Eeco,2,50000.0,Individual,Petrol,Manual,15.37,1196,73.0,7,3.8,4.905
2262,Maruti,Swift Dzire,3,50000.0,Individual,Diesel,Manual,28.4,1248,74.02,5,6.75,8.329472891566265
2263,Honda,City,5,89682.0,Dealer,Petrol,Automatic,18.0,1497,117.3,5,7.01,15.0
2266,Maruti,Alto,4,27000.0,Dealer,Petrol,Manual,24.7,796,47.3,5,2.9,4.112027027027027
2267,Honda,City,6,67584.0,Dealer,Petrol,Manual,17.4,1497,117.3,5,6.51,14.945
2268,Hyundai,Verna,7,56200.0,Dealer,Petrol,Manual,17.1,1591,121.3,5,6.91,13.49
2269,Volkswagen,Vento,9,19519.0,Individual,Petrol,Manual,15.04,1598,103.6,5,3.47,13.46
2270,Hyundai,Verna,2,10000.0,Individual,Petrol,Manual,17.0,1591,121.3,5,9.99,13.505
2271,Maruti,Wagon R,9,62000.0,Dealer,CNG,Manual,33.54,998,67.04,5,3.4,6.25
2273,Maruti,Wagon R,7,27066.0,Dealer,Petrol,Manual,21.79,998,67.05,5,3.25,6.185586145648313
2274,Maruti,Alto,3,20000.0,Individual,Petrol,Manual,23.95,998,67.05,5,3.75,4.112027027027027
2276,Volkswagen,Polo,6,37000.0,Dealer,Petrol,Automatic,17.21,1197,103.6,5,5.75,9.283830409356725
2277,Volkswagen,Vento,4,20000.0,Dealer,Diesel,Manual,20.64,1498,108.49,5,9.5,13.294659090909091
2278,Hyundai,i10,9,30448.0,Dealer,Petrol,Manual,20.36,1197,78.9,5,2.88,7.138266666666667
2279,Volkswagen,Polo,7,27363.0,Dealer,Petrol,Automatic,17.21,1197,103.6,5,6.18,9.2
2280,Maruti,Ertiga,4,54688.0,Dealer,CNG,Manual,17.5,1373,80.46,7,7.85,10.23
2281,Hyundai,i20,6,35000.0,Dealer,Petrol,Manual,17.19,1197,81.86,5,5.75,10.810042134831459
2282,Volkswagen,Polo,5,54162.0,Dealer,Diesel,Manual,20.14,1498,88.8,5,5.75,9.283830409356725
2283,Maruti,Swift,8,100000.0,Individual,Diesel,Manual,22.9,1248,74.0,5,3.5,7.746715686274511
2284,Maruti,Alto,6,90145.0,Dealer,Petrol,Manual,22.74,796,47.3,5,2.9,4.2
2285,Maruti,Alto,10,70000.0,Individual,Petrol,Manual,20.92,998,67.1,5,1.8,4.112027027027027
2286,Maruti,Swift,10,225000.0,Individual,Diesel,Manual,22.9,1248,74.0,5,3.25,7.746715686274511
2288,Renault,KWID,3,15300.0,Dealer,Petrol,Manual,23.01,999,67.0,5,4.11,5.27
2290,Hyundai,Elantra,5,29000.0,Dealer,Diesel,Automatic,19.5,1582,126.24,5,13.51,23.875
2291,Maruti,Ciaz,6,78000.0,Dealer,Diesel,Manual,26.21,1248,88.5,5,5.75,11.595719424460432
2292,Honda,City,7,63351.0,Dealer,Diesel,Manual,26.0,1498,98.6,5,5.79,16.2
2293,Datsun,GO,5,50000.0,Individual,Petrol,Manual,19.44,1198,67.0,7,3.5,6.39
2294,Honda,Jazz,6,41000.0,Dealer,Petrol,Automatic,19.0,1199,88.7,5,6.15,10.21
2295,Hyundai,Grand,4,29000.0,Dealer,Petrol,Manual,18.9,1197,81.86,5,5.21,7.23
2296,Hyundai,Verna,9,67000.0,Dealer,Diesel,Manual,22.32,1582,126.32,5,5.35,15.48
2297,Renault,KWID,4,11000.0,Dealer,Petrol,Automatic,24.04,999,67.0,5,4.0,5.27
2298,Mahindra,KUV,4,42000.0,Dealer,Petrol,Manual,18.15,1198,82.0,6,4.75,7.725
2299,Hyundai,i20,7,46500.0,Dealer,Petrol,Manual,18.5,1197,82.9,5,4.25,10.81
2300,Maruti,Wagon R,8,40200.0,Dealer,Petrol,Manual,18.9,998,67.1,5,3.25,6.185586145648313
2301,Ford,Ecosport,4,94500.0,Dealer,Diesel,Manual,21.7,1498,98.96,5,7.75,11.975
2302,Hyundai,i20,8,26000.0,Individual,Petrol,Manual,18.5,1197,82.85,5,3.55,10.575
2303,Maruti,Wagon R,7,135975.0,Dealer,CNG,Manual,33.54,998,67.04,5,2.95,6.14
2304,Hyundai,Grand,4,21000.0,Individual,Petrol,Manual,18.9,1197,82.0,5,5.5,7.23
2305,Honda,Amaze,6,44000.0,Dealer,Diesel,Manual,25.8,1498,98.6,5,6.0,10.425
2306,Hyundai,i20,6,85000.0,Dealer,Diesel,Manual,21.27,1396,88.76,5,6.3,10.810042134831459
2307,Maruti,Wagon R,5,64000.0,Dealer,Petrol,Manual,20.52,1197,81.8,5,3.39,6.185586145648313
2308,Honda,City,4,54000.0,Dealer,Petrol,Automatic,18.0,1497,117.3,5,8.45,14.945
2309,Toyota,Innova,8,121000.0,Dealer,Diesel,Manual,12.8,2494,102.0,8,8.95,24.861428571428572
2310,Maruti,Eeco,2,46000.0,Dealer,CNG,Manual,21.94,1196,61.7,5,4.75,5.214816513761468
2311,Maruti,Alto,10,72000.0,Dealer,Petrol,Manual,19.7,796,46.3,5,1.85,4.112027027027027
2313,Mahindra,Scorpio,4,35000.0,Dealer,Diesel,Automatic,15.4,2179,120.0,7,11.35,17.309853556485354
2314,Volkswagen,Vento,8,50000.0,Dealer,Diesel,Manual,20.54,1598,103.6,5,4.75,13.294659090909091
2315,Honda,WR-V,4,44500.0,Dealer,Petrol,Manual,17.5,1199,88.7,5,6.4,10.77
2316,Maruti,Eeco,4,73630.0,Dealer,CNG,Manual,15.1,1196,73.0,5,3.95,5.214816513761468
2318,Maruti,Swift Dzire,8,47500.0,Individual,Diesel,Manual,23.4,1248,74.0,5,6.25,8.329472891566265
2320,Honda,City,7,66852.0,Dealer,Diesel,Manual,25.1,1498,98.6,5,6.25,15.192078825347759
2321,Honda,City,5,47592.0,Dealer,Petrol,Automatic,18.0,1497,117.3,5,8.45,15.145
2323,Hyundai,Creta,4,49000.0,Dealer,Petrol,Automatic,13.0,1591,121.3,5,10.95,16.055
2324,Hyundai,i20,9,36000.0,Individual,Petrol,Manual,18.5,1197,80.0,5,3.5,10.575
2325,Toyota,Innova,3,27000.0,Dealer,Diesel,Automatic,11.36,2755,171.5,8,18.45,25.415
2326,Hyundai,Elantra,3,34000.0,Dealer,Petrol,Automatic,14.62,1999,149.92,5,13.75,22.305
2327,Toyota,Innova,5,125000.0,Dealer,Diesel,Manual,13.68,2393,147.8,8,16.65,24.67
2328,Toyota,Innova,3,20000.0,Individual,Diesel,Manual,13.68,2393,147.8,8,16.0,24.625
2329,Maruti,Celerio,4,22000.0,Dealer,Petrol,Automatic,23.1,998,67.04,5,4.75,5.983255208333333
2330,Maruti,Swift,6,38000.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,4.85,7.85
2331,Hyundai,Grand,6,25000.0,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.75,7.24
2332,Maruti,Swift,8,195000.0,Individual,Diesel,Manual,22.9,1248,74.0,5,4.1,7.746715686274511
2333,Maruti,Baleno,4,22000.0,Dealer,Petrol,Manual,21.01,1197,81.8,5,7.89,8.89
2334,Maruti,Ignis,4,33000.0,Dealer,Petrol,Automatic,20.89,1197,81.8,5,5.75,7.074298245614036
2335,Maruti,Ciaz,2,5000.0,Dealer,Petrol,Manual,21.56,1462,103.25,5,8.3,11.73
2336,Maruti,Swift Dzire,3,25000.0,Dealer,Diesel,Automatic,28.4,1248,74.02,5,8.7,8.329472891566265
2338,Mahindra,Scorpio,4,35373.0,Dealer,Diesel,Manual,15.4,1997,120.0,9,9.75,17.035
2339,Hyundai,Grand,7,56229.0,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.5,7.24
2341,Hyundai,Grand,7,71000.0,Dealer,Diesel,Manual,24.0,1120,70.0,5,4.0,7.071195054945055
2342,Maruti,Wagon R,9,63000.0,Dealer,CNG,Manual,26.2,998,58.2,5,2.95,6.25
2343,Mahindra,Bolero,5,120000.0,Individual,Diesel,Manual,15.96,2523,62.1,7,5.6,9.77
2344,Tata,Tiago,5,90000.0,Individual,Petrol,Manual,23.84,1199,84.0,5,4.0,6.81
2345,Maruti,Swift,9,100000.0,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.5,7.746715686274511
2346,Maruti,Eeco,7,46311.0,Dealer,CNG,Manual,21.94,1196,61.7,5,3.49,5.84
2349,Maruti,Wagon R,8,40000.0,Individual,Petrol,Manual,18.9,998,67.1,5,3.2,6.295
2350,Renault,KWID,4,18000.0,Dealer,Petrol,Manual,23.01,999,67.0,5,3.15,5.27
2351,Hyundai,Santro,11,60000.0,Individual,Petrol,Manual,17.92,1086,62.1,5,1.75,6.399390243902439
2352,Maruti,Swift Dzire,2,22000.0,Dealer,Diesel,Automatic,28.4,1248,74.02,5,9.0,8.329472891566265
2353,Maruti,Wagon R,7,27000.0,Dealer,Petrol,Manual,21.5,1197,81.8,5,3.7,6.42
2354,Toyota,Innova,10,118000.0,Dealer,Diesel,Manual,12.8,2494,102.0,8,7.21,24.861428571428572
2355,Maruti,Ertiga,7,51000.0,Dealer,Petrol,Manual,16.02,1373,93.7,7,5.99,10.38372
2357,Ford,Figo,10,44000.0,Dealer,Petrol,Manual,15.6,1196,70.0,5,2.51,7.4
2358,Ford,Figo,11,90000.0,Individual,Petrol,Manual,15.6,1196,70.0,5,2.0,7.645
2359,Honda,City,8,61000.0,Dealer,Petrol,Manual,17.0,1497,118.0,5,4.25,14.945
2360,Hyundai,Grand,7,47985.0,Dealer,Diesel,Manual,24.0,1120,70.0,5,5.21,7.071195054945055
2361,Hyundai,i20,8,167200.0,Individual,Diesel,Manual,21.27,1396,88.76,5,3.8,11.25
2362,Tata,Tiago,3,9000.0,Dealer,Petrol,Automatic,23.84,1199,84.0,5,5.5,6.773722222222222
2363,Toyota,Innova,7,34000.0,Dealer,Diesel,Manual,12.99,2494,100.6,7,11.95,24.861428571428572
2364,Maruti,Wagon R,8,63000.0,Dealer,CNG,Manual,33.54,998,67.04,5,3.51,6.13
2365,Maruti,Swift,4,58832.0,Dealer,Diesel,Manual,25.2,1248,74.0,5,6.75,7.746715686274511
2366,Maruti,Ertiga,7,34200.0,Individual,Petrol,Manual,16.02,1373,93.7,7,5.75,10.615
2367,Maruti,Swift Dzire,11,90000.0,Individual,Petrol,Manual,17.5,1298,85.8,5,2.75,8.62
2368,Maruti,Wagon R,8,43779.0,Dealer,Petrol,Manual,20.51,998,67.04,5,3.2,6.42
2370,Toyota,Innova,9,75000.0,Dealer,Diesel,Manual,12.99,2494,100.0,8,8.3,24.861428571428572
2371,Maruti,Wagon R,5,72829.0,Dealer,Petrol,Automatic,21.79,998,67.05,5,4.0,6.3
2372,Maruti,Alto,11,67789.0,Dealer,Petrol,Manual,19.7,796,46.3,5,1.75,4.112027027027027
2373,Hyundai,i20,5,23000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.75,10.810042134831459
2374,Maruti,Alto,4,15798.0,Dealer,Petrol,Manual,23.95,998,67.05,5,3.65,4.112027027027027
2375,Maruti,S-Presso,2,3000.0,Individual,Petrol,Manual,21.7,998,67.0,5,4.32,5.025454545454546
2376,Honda,City,10,59000.0,Dealer,Petrol,Manual,17.0,1497,118.0,5,3.45,14.945
2377,Renault,KWID,5,25000.0,Individual,Petrol,Manual,25.17,799,53.3,5,2.7,4.775
2378,Hyundai,Santro,2,19000.0,Dealer,Petrol,Automatic,20.3,1086,68.0,5,5.75,6.435
2380,Honda,Jazz,3,14000.0,Dealer,Petrol,Automatic,19.0,1199,88.7,5,7.75,10.077314814814814
2381,Hyundai,i20,3,31868.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,6.99,10.565
2384,Maruti,Baleno,4,41526.0,Dealer,Petrol,Manual,21.01,1197,81.8,5,6.75,8.78
2386,Maruti,Eeco,10,34304.0,Dealer,Petrol,Manual,16.11,1196,72.42,5,2.99,5.045
2389,Renault,Duster,7,61125.0,Dealer,Diesel,Manual,19.64,1461,108.45,5,5.5,14.16888888888889
2390,Tata,Safari,5,53000.0,Dealer,Diesel,Manual,14.1,2179,147.94,7,8.45,18.13
2391,Maruti,Ciaz,4,40000.0,Dealer,Diesel,Manual,28.09,1248,88.5,5,8.1,11.595719424460432
2393,Ford,Figo,3,40000.0,Individual,Petrol,Manual,18.16,1196,86.8,5,4.16,7.595
2394,Skoda,Rapid,7,54000.0,Dealer,Petrol,Manual,15.0,1598,103.5,5,5.25,12.245
2395,Volkswagen,Polo,11,45000.0,Dealer,Petrol,Manual,16.47,1198,74.0,5,2.65,9.49
2397,Honda,City,4,15000.0,Individual,Petrol,Manual,17.4,1497,117.6,5,11.0,14.945
2398,Hyundai,i20,7,94343.0,Dealer,Diesel,Manual,21.9,1396,88.76,5,4.65,11.25
2399,Maruti,Ertiga,6,57748.0,Dealer,CNG,Manual,17.5,1373,80.46,7,6.75,10.22
2400,Volkswagen,Vento,6,80000.0,Individual,Diesel,Manual,20.34,1498,103.2,5,6.0,13.294659090909091
2401,Maruti,Ciaz,4,67000.0,Dealer,Diesel,Manual,28.09,1248,88.5,5,8.31,11.595719424460432
2402,Skoda,Rapid,6,40418.0,Dealer,Petrol,Automatic,14.3,1598,103.52,5,5.75,12.405
2403,Maruti,Wagon R,4,51000.0,Dealer,Petrol,Automatic,20.51,998,67.0,5,4.5,6.3
2404,Toyota,Innova,2,9154.0,Dealer,Diesel,Manual,13.68,2393,147.8,7,21.0,24.861428571428572
2405,Maruti,Ertiga,9,90000.0,Dealer,Petrol,Manual,16.02,1373,93.7,7,4.8,10.38372
2407,Maruti,S-Presso,2,8500.0,Individual,Petrol,Manual,21.7,998,67.0,5,4.3,4.825
2408,Maruti,Swift Dzire,3,110000.0,Individual,Diesel,Manual,23.4,1248,74.0,5,5.4,8.329472891566265
2409,Hyundai,i20,2,13000.0,Individual,Petrol,Manual,18.6,1197,81.86,5,6.2,10.81
2410,Hyundai,Elantra,6,49910.0,Dealer,Petrol,Automatic,14.5,1797,147.5,5,8.29,22.305
2411,Ford,Ecosport,6,70553.0,Dealer,Diesel,Manual,22.7,1498,89.84,5,6.0,11.718629283489095
2412,Maruti,Alto,4,5914.0,Dealer,Petrol,Manual,23.95,998,67.05,5,3.45,4.112027027027027
2413,Honda,Amaze,8,80000.0,Dealer,Diesel,Manual,25.8,1498,98.6,5,4.21,10.425
2414,Hyundai,i10,10,15000.0,Individual,Petrol,Manual,20.36,1197,78.9,5,5.0,7.138266666666667
2415,Honda,City,12,75000.0,Dealer,Petrol,Manual,17.0,1497,118.0,5,3.0,15.145
2416,Datsun,GO,3,3300.0,Individual,Petrol,Manual,19.02,1198,67.05,7,5.5,7.155
2417,Kia,Seltos,2,10097.0,Dealer,Petrol,Automatic,16.8,1353,138.0,5,18.5,16.10222222222222
2419,Hyundai,Verna,4,12000.0,Dealer,Petrol,Automatic,17.0,1591,121.3,5,10.75,13.505
2420,Hyundai,i20,10,71000.0,Dealer,Diesel,Manual,22.54,1396,88.76,5,3.29,11.26
2421,Maruti,Wagon R,10,50000.0,Individual,CNG,Manual,26.2,998,58.2,5,2.25,6.185586145648313
2422,Toyota,Innova,7,140165.0,Dealer,Diesel,Manual,12.8,2494,102.0,7,9.91,24.861428571428572
2423,Maruti,Swift Dzire,9,61000.0,Dealer,Diesel,Manual,23.4,1248,74.0,5,4.55,8.329472891566265
2424,Maruti,Ciaz,5,70000.0,Individual,Diesel,Manual,28.09,1248,88.5,5,6.8,11.595719424460432
2425,Volkswagen,Polo,5,63000.0,Dealer,Diesel,Manual,20.14,1498,88.0,5,5.1,9.283830409356725
2426,Maruti,Swift,5,24000.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,5.21,7.815
2427,Hyundai,i20,6,48488.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.25,10.565
2429,Maruti,Baleno,3,33635.0,Dealer,Diesel,Manual,27.39,1248,74.0,5,8.5,8.69356846473029
2431,Ford,Freestyle,3,40000.0,Individual,Diesel,Manual,24.4,1498,98.63,5,6.5,8.641166666666667
2432,Hyundai,Verna,8,83000.0,Dealer,Petrol,Automatic,15.74,1591,121.3,5,5.0,14.583057553956834
2433,Hyundai,i20,6,17999.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.91,10.810042134831459
2434,Hyundai,i20,2,12000.0,Individual,Petrol,Manual,18.6,1197,81.86,5,7.0,10.575
2435,Maruti,Wagon R,5,30000.0,Dealer,CNG,Manual,26.2,998,58.2,5,3.75,6.14
2436,Maruti,Swift Dzire,3,22000.0,Dealer,Petrol,Automatic,21.21,1197,81.8,5,7.95,8.62
2437,Hyundai,i20,6,50000.0,Dealer,Petrol,Manual,18.5,1197,82.85,5,5.5,10.81
2438,Hyundai,i20,5,43000.0,Dealer,Diesel,Manual,22.54,1396,88.73,5,6.85,11.26
2439,Hyundai,Grand,6,75000.0,Dealer,Petrol,Automatic,18.9,1197,82.0,5,4.95,7.24
2441,Volkswagen,Polo,5,58000.0,Dealer,Petrol,Automatic,17.21,1197,103.6,5,6.65,9.2
2442,Maruti,Ertiga,4,19000.0,Dealer,Diesel,Manual,24.52,1248,88.5,7,8.75,10.38372
2443,Hyundai,Grand,6,51765.0,Individual,Petrol,Manual,18.9,1197,82.0,5,5.0,7.23
2444,Honda,City,10,100000.0,Individual,Petrol,Manual,17.0,1497,118.0,5,3.8,14.945
2445,Honda,City,5,56210.0,Dealer,Petrol,Manual,16.9,1497,100.0,5,7.0,14.945
2446,Hyundai,i10,12,80000.0,Individual,Petrol,Manual,20.36,1197,78.9,5,1.8,7.138266666666667
2447,Hyundai,Creta,3,8400.0,Individual,Diesel,Manual,22.1,1396,88.7,5,10.5,16.575
2448,Hyundai,Grand,6,55000.0,Dealer,Petrol,Automatic,18.9,1197,82.0,5,5.25,7.24
2449,Honda,WR-V,4,23039.0,Dealer,Diesel,Manual,25.5,1498,98.6,5,7.5,12.45
2450,Tata,Safari,12,120000.0,Individual,Petrol,Manual,12.0,2092,127.0,7,4.9,18.13
2451,Mahindra,XUV500,8,95000.0,Individual,Diesel,Manual,15.1,2179,140.0,7,7.5,19.74
2452,Hyundai,Verna,12,66000.0,Dealer,Diesel,Manual,25.0,1493,113.42,5,3.75,14.583057553956834
2453,Honda,City,11,161445.0,Dealer,Petrol,Manual,17.0,1497,118.0,5,2.75,15.0
2454,Maruti,Eeco,5,5000.0,Individual,CNG,Manual,21.94,1196,61.7,5,4.9,5.84
2455,Hyundai,i10,10,102000.0,Dealer,Petrol,Automatic,16.95,1197,78.9,5,2.85,7.24
2457,Honda,WR-V,4,110000.0,Individual,Diesel,Manual,25.5,1498,98.6,5,7.75,12.445
2459,Honda,Amaze,8,41000.0,Dealer,Petrol,Manual,18.0,1198,86.7,5,3.65,9.339840255591055
2460,Maruti,Eeco,6,16000.0,Individual,CNG,Manual,21.94,1196,63.0,5,4.0,6.01
2461,Maruti,Swift,3,8260.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,5.82,7.85
2462,Maruti,Swift Dzire,10,64000.0,Dealer,Diesel,Manual,19.3,1248,73.9,5,3.95,8.329472891566265
2463,Maruti,Vitara,4,39100.0,Dealer,Diesel,Manual,24.3,1248,88.5,5,7.9,10.815
2464,Mahindra,Scorpio,3,27000.0,Individual,Diesel,Manual,15.4,2523,75.0,7,9.5,17.005
2465,Mahindra,Thar,6,74000.0,Dealer,Diesel,Manual,18.06,2523,63.0,7,5.51,15.605
2466,Volkswagen,Polo,7,13000.0,Dealer,Petrol,Automatic,17.21,1197,103.6,5,6.5,9.49
2467,Maruti,Wagon R,3,15000.0,Individual,Petrol,Manual,20.51,998,67.04,5,4.8,6.295
2470,Mahindra,XUV500,9,70000.0,Dealer,Diesel,Manual,15.1,2179,140.0,7,7.4,20.01618556701031
2471,Honda,City,3,15000.0,Individual,Diesel,Manual,25.6,1498,97.9,5,9.75,16.02
2473,Maruti,Swift,5,13300.0,Dealer,Petrol,Manual,16.1,1197,85.0,5,5.1,7.97
2474,Honda,Jazz,5,37000.0,Dealer,Petrol,Automatic,19.0,1199,88.7,5,6.45,10.21
2476,Mahindra,XUV500,4,62000.0,Dealer,Diesel,Manual,16.0,2179,140.0,7,13.45,20.0
2477,Maruti,Baleno,4,4414.0,Dealer,Petrol,Manual,21.4,1197,83.1,5,6.4,8.69356846473029
2478,Maruti,Alto,5,24000.0,Dealer,Petrol,Manual,22.74,796,47.3,5,2.75,4.095
